id;company_id;reseller_id;company_name;billing_adress_1;billing_adress_2;billing_zip;billing_place;billing_country;billing_email;billing_phone;shipping_adress_1;shipping_adress_2;shipping_zip;shipping_place;shipping_country;shipping_email;shipping_phone;vat_percentage;vat_number;company_created_at;company_modified_at
1;30933;45992;Ergonomic benchmark;Borders Global payment;Money Market Account backing up;interface bypass;Enterprise-wide Frozen;monitor teal Auto Loan Account;Handcrafted Executive matrix;content optical;Integrated;Research Small Corporate;enable;Steel Configuration Designer;system engine Australian Dollar;Wyoming invoice;card XML;70505;SCSI;2021-03-11;2021-03-10
2;16121;64777;architecture deposit;Russian Ruble standardization;Borders;Awesome;Turkmenistan;French Southern Territories monetize;next-generation encompassing;magnetic Concrete;Synergized Handcrafted Frozen Shoes;Investment Account content plum;Gorgeous Soft Car;leverage copying architectures;THX generating Borders;composite;Granite;312;Hawaii morph Bolivia;2021-03-11;2021-03-11
3;9199;36773;AI;Solomon Islands Dollar Gorgeous Plastic Sausages monitor;Savings Account redundant;monetize THX;Personal Loan Account Glen;Libyan Arab Jamahiriya;AGP Pants;array unleash;Buckinghamshire RAM Auto Loan Account;Tanzanian Shilling Gorgeous Frozen Shoes regional;even-keeled Isle bricks-and-clicks;Keyboard Executive;target communities Toys;Intelligent Granite Hat;product harness Health;8194;primary Mississippi Refined Fresh Table;2021-03-11;2021-03-11
4;89295;14553;local area network GB Investment Account;primary quantifying;Small Soft Pizza Dale;utilize;Pa'anga Electronics Chips;Handmade Granite Computer Associate;cross-platform;Generic withdrawal;calculate;generating Savings Account;Internal capability;Markets purple;red Gabon Focused;Applications alarm;bricks-and-clicks;22435;Gorgeous Frozen Hat azure;2021-03-11;2021-03-11
5;54187;34443;out-of-the-box input;GB;synergies;Checking Account;Tunnel;bottom-line hard drive;digital RSS;Missouri transmitter Belize;Human;asynchronous;Gorgeous;Multi-lateral bypassing;communities;invoice South Dakota;content-based Uganda Shilling;85845;driver;2021-03-11;2021-03-10
6;60038;81908;Bedfordshire Administrator Manager;copying Cambridgeshire;withdrawal South Georgia and the South Sandwich Islands virtual;Corners Corners;bandwidth Tenge;online foreground pixel;experiences mobile;Research Home Loan Account;convergence;Taiwan;Keyboard Cyprus;Idaho Baby;Agent;bandwidth;RAM Buckinghamshire Wyoming;59837;District Home Loan Account;2021-03-10;2021-03-10
7;12474;89260;Checking Account;TCP ROI;deposit;Human;Guadeloupe hard drive Legacy;Future Junctions;Fresh;zero administration;Accountability Oval;Producer;matrix indexing Outdoors;Belarussian Ruble Arizona;French Guiana;Regional Berkshire;Avon Michigan Research;82160;plug-and-play application client-server;2021-03-11;2021-03-11
8;65340;11485;Architect;convergence productize;Investor Gorgeous website;Re-engineered functionalities Extension;Rustic;compressing;focus group Tasty Rustic Wooden Gloves;Czech Republic Cambridgeshire;calculating Connecticut;Assistant;capability;interface Alaska Pines;payment Wisconsin Home Loan Account;Garden Concrete virtual;Australia;21597;hacking French Polynesia;2021-03-11;2021-03-11
9;76206;23338;bandwidth;HTTP magenta Licensed;SMTP;Architect Operative Montana;deposit overriding;hack Self-enabling zero tolerance;Corporate Corporate invoice;wireless Direct;invoice Parks Louisiana;China Open-architected intangible;synthesizing SDR;Hawaii;orchestrate transmitter Rhode Island;Car Corner;Serbia high-level Handcrafted Soft Mouse;91144;parse;2021-03-11;2021-03-11
10;17546;27939;hacking Organic;US Dollar SCSI;Licensed;Lead Shirt;web-enabled payment;Right-sized Outdoors Administrator;Gorgeous Checking Account redefine;quantify;Chicken reboot;deposit Automated;silver JSON Persistent;Mountains Borders connecting;throughput withdrawal dynamic;Checking Account compress;SMS Granite Face to face;15235;Yemeni Rial Unbranded Cotton Table;2021-03-10;2021-03-10
